ticker,timestamp,direction,score,filters_passed,filter_failures,entry_price,stop_loss,target1,target2,risk_reward,atr_pct,weekly_trend,daily_trend,structure_event,adx,rsi,volume_ratio
AAPL,2026-02-27 00:00:00,LONG,70.0,True,[],169.3593191379142,164.4693398174272,177.50928467205924,185.65925020620426,1.6666666666666667,2.406116644667268,,,CP,18.74949224644579,55.469373440157476,
BAC,2026-02-27 00:00:00,LONG,70.0,True,[],451.5454589087706,438.74009230965345,472.8877365739659,494.2300142391613,1.6666666666666667,2.363247957002183,,,CP,49.806999926522245,61.88782379259346,
MS,2026-02-27 00:00:00,LONG,70.0,True,[],354.5324289630296,343.563154014122,372.81455387787554,391.09667879272155,1.666666666666665,2.5783431107161734,,,CP,14.216920923403281,42.78032572092213,
USB,2026-02-27 00:00:00,LONG,70.0,True,[],356.81377039409415,347.05177796995537,373.0837577676588,389.35374514122344,1.6666666666666705,2.279899029064202,,,CP,14.265209769122198,47.72697428529325,
UNH,2026-02-27 00:00:00,LONG,70.0,True,[],281.0746373367874,273.82694372984616,293.1541266816895,305.2336160265915,1.666666666666664,2.1488045772035007,,,CP,17.6107715485883,54.85685732469711,
MRK,2026-02-27 00:00:00,LONG,70.0,True,[],327.25317715720047,318.6097383482568,341.65890850543985,356.0646398536793,1.6666666666666645,2.201007103029503,,,CP,19.464734880520066,56.187210245584765,
DHR,2026-02-27 00:00:00,LONG,70.0,True,[],318.8867709549732,308.863171024536,335.5927708390352,352.2987707230972,1.666666666666663,2.619425044512257,,,CP,22.29435578938858,47.078963613405115,
LMT,2026-02-27 00:00:00,LONG,70.0,True,[],308.9246819295528,299.98810503151117,323.81897675962216,338.71327158969154,1.666666666666671,2.4106676645322027,,,CP,12.365352117054028,49.455279076603276,
MCD,2026-02-27 00:00:00,LONG,70.0,True,[],349.3828636147636,339.74305061202523,365.4492186193276,381.51557362389156,1.6666666666666705,2.299247713287831,,,CP,19.06736319217393,53.083329224865736,
BKNG,2026-02-27 00:00:00,LONG,70.0,True,[],132.6427639047781,129.12935462749726,138.49844603357946,144.35412816238085,1.6666666666666612,2.207313070242214,,,CP,17.087888073865436,49.62261714927436,
CVX,2026-02-27 00:00:00,LONG,70.0,True,[],202.25387613577058,196.51467410394994,211.81921285547165,221.3845495751727,1.6666666666666667,2.364685637292797,,,CP,21.996911603026376,56.174507131995156,
OXY,2026-02-27 00:00:00,LONG,70.0,True,[],495.88174170092407,481.81436345788313,519.3273721059923,542.7730025110604,1.666666666666664,2.3640344494886345,,,CP,16.363547826545556,42.69919050950426,
